page,engine,reason,agreement,disputed,dropped
1,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
2,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
3,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
4,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
5,olmocr2,figures agree (0.85); prose-preferred engine,0.85,0,
6,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
7,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
8,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
9,olmocr2,figures agree (0.895); prose-preferred engine,0.895,0,
10,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
11,olmocr2,figures agree (0.938); prose-preferred engine,0.938,0,
12,olmocr2,figures agree (0.846); prose-preferred engine,0.846,0,
13,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
14,olmocr2,only surviving engine,,0,
15,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
16,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
17,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
18,olmocr2,figures agree (0.933); prose-preferred engine,0.933,0,
19,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
20,olmocr2,figures agree (0.92); prose-preferred engine,0.92,0,
21,olmocr2,figures agree (0.769); prose-preferred engine,0.769,0,
22,olmocr2,figures agree (0.909); prose-preferred engine,0.909,0,
23,olmocr2,figures agree (0.76); prose-preferred engine,0.76,0,
24,olmocr2,figures agree (0.955); prose-preferred engine,0.955,0,
25,olmocr2,figures agree (0.958); prose-preferred engine,0.958,0,
26,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
27,apple_vision,figures disagree (0.6); figure-preferred engine,0.6,1,
28,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
29,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
30,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
31,olmocr2,figures agree (0.909); prose-preferred engine,0.909,0,
32,apple_vision,figures disagree (0.727); figure-preferred engine,0.727,1,
33,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
34,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
35,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
36,olmocr2,figures agree (0.967); prose-preferred engine,0.967,0,
37,olmocr2,figures agree (0.917); prose-preferred engine,0.917,0,
38,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
39,olmocr2,figures agree (0.882); prose-preferred engine,0.882,0,
40,olmocr2,figures agree (0.938); prose-preferred engine,0.938,0,
41,olmocr2,figures agree (0.92); prose-preferred engine,0.92,0,
42,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
43,olmocr2,figures agree (0.941); prose-preferred engine,0.941,0,
44,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
45,apple_vision,figures disagree (0.667); figure-preferred engine,0.667,1,
46,olmocr2,figures agree (0.95); prose-preferred engine,0.95,0,
47,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
